2021-05-18 14:21:23,016 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.pwd-login', 0)
2021-05-18 14:21:23,034 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', '.pwd-login', 0)
2021-05-18 14:21:23,080 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 1)
2021-05-18 14:21:23,101 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 1)输入内容
2021-05-18 14:21:23,349 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 2)
2021-05-18 14:21:23,360 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 2)输入内容
2021-05-18 14:21:23,531 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', 'button', 0)
2021-05-18 14:21:23,544 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', 'button', 0)
2021-05-18 14:21:25,661 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.nav-item', 0)
2021-05-18 14:21:25,676 INFO [root] [base.py (base_get_text:57)]] - 正在获取元素('css selector', '.nav-item', 0)信息
2021-05-18 14:31:13,846 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.pwd-login', 0)
2021-05-18 14:31:13,872 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', '.pwd-login', 0)
2021-05-18 14:31:13,942 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 1)
2021-05-18 14:31:13,956 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 1)输入内容
2021-05-18 14:31:14,170 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 2)
2021-05-18 14:31:14,179 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 2)输入内容
2021-05-18 14:31:14,335 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', 'button', 0)
2021-05-18 14:31:14,347 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', 'button', 0)
2021-05-18 14:31:16,412 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.nav-item', 0)
2021-05-18 14:31:17,467 INFO [root] [base.py (base_get_text:57)]] - 正在获取元素('css selector', '.nav-item', 0)信息
2021-05-18 14:32:53,613 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.pwd-login', 0)
2021-05-18 14:32:53,665 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', '.pwd-login', 0)
2021-05-18 14:32:53,820 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 1)
2021-05-18 14:32:53,834 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 1)输入内容
2021-05-18 14:32:54,040 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.el-input__inner', 2)
2021-05-18 14:32:54,048 INFO [root] [base.py (base_input:30)]] - 正在给元素('css selector', '.el-input__inner', 2)输入内容
2021-05-18 14:32:54,233 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', 'button', 0)
2021-05-18 14:32:54,247 INFO [root] [base.py (base_click:48)]] - 正在点击元素('css selector', 'button', 0)
2021-05-18 14:32:56,303 INFO [root] [base.py (base_find_element:15)]] - 正在查找元素('css selector', '.nav-item', 0)
2021-05-18 14:32:56,315 INFO [root] [base.py (base_get_text:57)]] - 正在获取元素('css selector', '.nav-item', 0)信息
